UnityTS,Heart,Light
578319,26292,45553
578329,27312,45850
578335,28260,46384
578345,29160,47032
578355,29908,47853
578365,30549,48256
578375,31032,48364
578385,31472,48068
578395,31800,47298
578405,32105,46684
578415,32368,48160
578425,32608,47008
578435,32805,48232
578447,33020,49768
578457,33192,50333
578467,33402,51056
578477,33509,52804
578487,33556,52808
578497,33553,52300
578507,33534,51866
578517,33440,51161
578527,33384,50364
578537,33317,48796
578537,33306,47592
578547,33308,47976
578557,33384,46818
578567,33505,46370
578577,33704,46296
578587,33956,46704
578597,34256,48312
578607,34648,50220
578617,34996,49588
578627,35296,47426
578637,35704,46044
578648,36162,45652
578658,36576,46208
578668,36858,48796
578678,37074,49976
578688,37312,52588
578698,37548,54116
578708,37696,54036
578718,37788,54044
578728,37849,53320
578738,37788,53160
578757,37652,52699
578767,37493,51768
578777,37276,51244
578787,37088,49837
578797,37024,47644
578807,36928,45301
578817,36512,45157
578827,36082,45048
578837,35758,45461
578843,35498,45604
578853,35288,45952
578863,35100,45952
578873,34908,46104
578883,34760,46232
578893,34674,45922
578903,34662,45532
578913,34680,44842
578923,34736,44432
578933,34748,44164
578943,34816,43996
578957,34746,44148
578967,34648,44112
578977,34647,44000
578987,34971,43792
578997,35192,43440
579007,35008,43121
579017,34568,42996
579027,34236,43010
579037,33973,43178
579047,33736,42828
579062,33552,42624
579072,33508,42144
579082,33569,41877
579092,33641,41888
579102,33684,42032
579112,33752,41964
579122,33949,41856
579132,34213,41900
579142,34472,42072
579152,34788,42552
579152,35124,42540
579162,35448,42600
579172,35774,42656
579182,36104,42423
579192,36368,42496
579202,36344,42552
579212,36241,42496
579222,36264,42552
579232,36257,42720
579242,36161,42620
579252,36026,42617
579262,35840,42680
579272,35584,42672
579282,35445,42618
579292,35242,42617
579302,35124,42576
579312,35080,42436
579322,35064,42640
579332,34972,42596
579342,34812,42568
579352,34633,42680
579363,34540,42616
579373,34450,42780
579383,34292,42501
579393,34093,42752
579403,33953,42696
579413,33884,42800
579423,33874,42800
579433,33888,42568
579443,33936,42384
579453,34004,42208
579464,34149,41988
579474,34268,41772
579484,34356,42012
579494,34400,41973
579504,34400,42188
579514,34392,42180
579524,34376,42129
579534,34342,42062
579544,34292,42160
579554,34225,42116
579565,34160,42248
579575,34076,42200
579585,33992,42234
579595,33916,42164
579605,33865,42273
579615,33800,42260
579625,33701,42288
579635,33592,42396
579645,33520,42376
579655,33424,42389
579658,33336,42444
579668,33264,42316
579678,33253,42107
579688,33248,42024
579698,33260,42080
579708,33270,42296
579718,33274,42108
579728,33264,42076
579738,33296,42281
579748,33312,42156
579758,33339,42024
579779,33332,42132
579789,33352,42236
579799,33369,42257
579809,33389,42160
579819,33426,42144
579829,33440,42110
579839,33453,42192
579849,33480,42080
579859,33492,42220
579869,33525,42088
579879,33528,42020
579889,33554,42152
579899,33568,42024
579909,33563,42328
579919,33594,42358
579929,33636,42208
579939,33732,42464
579949,33948,42360
579959,34272,42216
579970,34660,42226
579980,35060,42200
579990,35448,42312
580000,35784,42193
580010,36064,42184
580020,36236,42253
580030,36336,42449
580040,36356,42208
580050,36352,42084
580060,36292,42192
580060,36200,42056
580070,36064,42040
580080,35912,42160
580090,35764,42061
580100,35596,42272
580110,35456,42088
580120,35276,42060
580130,35089,42124
580140,34932,42112
580150,34796,42088
580160,34677,42120
580172,34554,42162
580182,34453,41936
580192,34389,42012
580202,34306,42152
580212,34246,42193
580222,34176,42380
580232,34116,42044
580242,34076,42200
580252,34028,42136
580262,34000,42076
580273,33976,42064
580283,33968,42056
580293,33960,42184
580303,33944,42068
580313,33920,41990
580323,33886,42020
580333,33824,41944
580343,33761,41978
580353,33692,41908
580363,33617,42038
580373,33528,41952
580374,33440,42071
580384,33356,42056
580394,33265,41688
580404,33177,41964
580414,33097,41832
580424,33018,41776
580434,32984,41792
580444,32945,41729
580454,32917,41664
580464,32872,41704
580474,32849,41844
580494,32836,41636
580504,32815,41578
580514,32793,41528
580524,32764,41552
580534,32725,41604
580544,32704,41498
580554,32696,41456
580564,32699,41444
580574,32684,41321
580584,32696,41344
580594,32694,41232
580604,32708,41376
580614,32704,41068
580624,32696,41192
580634,32688,41105
580644,32688,41053
580654,32692,41204
580664,32690,41128
580674,32696,41012
580684,32681,40827
580694,32648,40928
580704,32620,40980
580714,32612,40976
580724,32632,41068
580734,32706,40960
580744,32864,40904
580754,33112,40900
580764,33444,40752
580774,33801,40808
580784,34184,40748
580794,34552,40728
580804,34872,41016
580814,35116,40744
580824,35312,40812
580834,35424,40792
580844,35444,40768
580854,35405,41145
580864,35353,41076
580874,35284,41196
580884,35208,41368
580885,35128,41576
580895,35052,41780
580905,35020,41884
580915,34968,41908
580925,34836,42148
580935,34724,42060
580945,34672,42252
580955,34668,42412
580965,34657,42304
580975,34640,42392
580985,34637,42288
580995,34645,42456
581034,34716,42420
581044,34772,42280
581054,34853,42336
581064,34944,42280
581074,34996,42324
581084,34912,42348
581094,34772,42384
581086,34628,42448
581096,34456,42514
581106,34232,42396
581116,34097,42360
581126,34048,42272
581136,33970,42400
581146,33900,42092
581156,33789,42232
581166,33656,42088
581176,33532,42168
581186,33420,42242
581196,33377,42217
581207,33338,42348
581217,33280,42009
581227,33201,42228
581237,33132,42224
581247,33056,42152
581257,33016,42076
581267,32998,42247
581277,32988,42073
581287,32984,42112
581297,32996,42013
581319,33025,42160
581329,33048,41916
581339,33020,42036
581349,32968,41940
581359,32932,42172
581369,32912,42244
581379,32920,42324
581389,32885,42364
581399,32884,42160
581391,32892,42108
581401,32872,42219
581411,32876,42232
581421,32876,42240
581431,32881,42400
581441,32908,42440
581451,32984,42457
581461,33102,42636
581471,33196,42811
581481,33307,43260
581491,33160,43764
581501,32963,43824
581512,33088,43778
581522,33532,44044
