UnityTS,Heart,Light
63779525760853,33456,51852
63779525760863,33405,52060
63779525760873,33356,52092
63779525760883,33313,52032
63779525760893,33264,52032
63779525760903,33232,51928
63779525760913,33185,51856
63779525760923,33146,51852
63779525760914,33106,52096
63779525760924,33080,51788
63779525760934,33049,52088
63779525760944,33004,51785
63779525760954,32944,51788
63779525760964,32907,52068
63779525760974,32864,52004
63779525760984,32848,51808
63779525760994,32808,51900
63779525761004,32804,51748
63779525761014,32780,51948
63779525761024,32776,51727
63779525761035,32784,51636
63779525761045,32776,51464
63779525761055,32784,51512
63779525761065,32796,51680
63779525761075,32812,51364
63779525761085,32824,51300
63779525761095,32821,51320
63779525761105,32821,51452
63779525761115,32828,51264
63779525761125,32828,51088
63779525761135,32834,51200
63779525761147,32832,51012
63779525761157,32826,51193
63779525761167,32828,51044
63779525761177,32826,50996
63779525761187,32842,51185
63779525761197,32840,50992
63779525761207,32828,50908
63779525761217,32820,50920
63779525761227,32818,51016
63779525761237,32808,51194
63779525761248,32800,50900
63779525761258,32780,50896
63779525761268,32765,50889
63779525761278,32760,51100
63779525761288,32752,51152
63779525761298,32740,50880
63779525761308,32752,51148
63779525761318,32752,51032
63779525761328,32756,51152
63779525761338,32764,50933
63779525761348,32758,50848
63779525761348,32741,50888
63779525761358,32757,50852
63779525761368,32794,51092
63779525761378,32880,50961
63779525761388,33028,50828
63779525761398,33290,50833
63779525761408,33592,50808
63779525761418,33924,50788
63779525761428,34236,50764
63779525761438,34498,51056
63779525761448,34704,51045
63779525761468,34856,50760
63779525761478,34924,50940
63779525761488,34945,50888
63779525761498,34896,50716
63779525761508,34828,50916
63779525761518,34721,50788
63779525761528,34621,50728
63779525761538,34500,50824
63779525761548,34380,50552
63779525761559,34252,50720
63779525761569,34147,50823
63779525761579,34044,50965
63779525761589,33948,50892
63779525761599,33844,50705
63779525761609,33744,50812
63779525761619,33660,50516
63779525761629,33604,50672
63779525761639,33556,50664
63779525761649,33524,50640
63779525761660,33490,50376
63779525761670,33489,50920
63779525761680,33489,50792
63779525761690,33500,50824
63779525761700,33508,50662
63779525761710,33514,50600
63779525761720,33512,50716
63779525761730,33498,50241
63779525761740,33492,50581
63779525761750,33476,50544
63779525761762,33428,50804
63779525761772,33389,50537
63779525761782,33350,50532
63779525761792,33308,50768
63779525761802,33252,50464
63779525761812,33208,50508
63779525761822,33160,50757
63779525761832,33120,50744
63779525761842,33080,50468
63779525761852,33032,50708
63779525761852,32968,50688
63779525761862,32936,50416
63779525761872,32899,50416
63779525761882,32876,50392
63779525761892,32829,50424
63779525761902,32825,50660
63779525761912,32792,50460
63779525761922,32769,50664
63779525761932,32760,50408
63779525761942,32744,50656
63779525761952,32720,50153
63779525761962,32710,50384
63779525761972,32704,50400
63779525761982,32700,50618
63779525761992,32680,50492
63779525762002,32674,50604
63779525762012,32668,50652
63779525762022,32658,50616
63779525762032,32645,50480
63779525762042,32656,50504
63779525762052,32640,50376
63779525762062,32632,50600
63779525762073,32638,50444
63779525762083,32634,50576
63779525762093,32620,50624
63779525762103,32632,50340
63779525762113,32608,50532
63779525762123,32604,50324
63779525762133,32601,50580
63779525762143,32600,50597
63779525762153,32570,49940
63779525762163,32572,50372
63779525762184,32560,50268
63779525762194,32556,50328
63779525762204,32540,50273
63779525762214,32536,50352
63779525762224,32536,50344
63779525762234,32544,50320
63779525762244,32553,50272
63779525762254,32552,50229
63779525762264,32522,50508
63779525762274,32520,50412
63779525762284,32520,50380
63779525762294,32555,50416
63779525762304,32600,50362
63779525762314,32744,50388
63779525762324,32956,50361
63779525762334,33232,50500
63779525762344,33540,50400
63779525762354,33840,50296
63779525762364,34113,50344
63779525762364,34336,50208
63779525762374,34490,50200
63779525762384,34593,50461
63779525762394,34612,50056
63779525762404,34593,50200
63779525762414,34528,50048
63779525762424,34464,49876
63779525762434,34360,50440
63779525762444,34248,50268
63779525762454,34132,50332
63779525762464,34029,50152
63779525762475,33908,50400
63779525762485,33820,50164
63779525762495,33708,50320
63779525762505,33616,50264
63779525762515,33528,50144
63779525762525,33449,50009
63779525762535,33384,50200
63779525762545,33344,50104
63779525762555,33296,49980
63779525762565,33264,50088
63779525762576,33256,50228
63779525762586,33244,50216
63779525762596,33232,49944
63779525762606,33249,49988
63779525762616,33264,49960
63779525762626,33284,49936
63779525762636,33289,49956
63779525762646,33280,49996
63779525762656,33264,50184
63779525762666,33248,50176
63779525762675,33220,50148
63779525762685,33200,49904
63779525762695,33152,49920
63779525762705,33120,50112
63779525762715,33056,50180
63779525762725,33001,50124
63779525762735,32953,50112
63779525762745,32898,50149
63779525762755,32844,49928
63779525762765,32794,50124
63779525762775,32745,50112
63779525762785,32728,50169
63779525762795,32684,50148
63779525762805,32662,49928
63779525762815,32645,49868
63779525762825,32621,49872
63779525762835,32612,50144
63779525762845,32600,49922
63779525762855,32588,49900
63779525762865,32580,49868
63779525762875,32576,50132
63779525762886,32584,50068
63779525762896,32572,49840
63779525762906,32580,49928
63779525762916,32576,50096
63779525762926,32576,50028
63779525762936,32576,49984
63779525762946,32561,49864
63779525762956,32544,50108
63779525762966,32540,50101
63779525762976,32520,49800
63779525762986,32528,50007
63779525762996,32508,49816
63779525763006,32512,49972
63779525763016,32496,49855
63779525763026,32498,49932
63779525763036,32492,50092
63779525763046,32476,49920
63779525763056,32456,50124
63779525763066,32464,50052
63779525763076,32464,49816
63779525763089,32452,50065
63779525763099,32424,49852
63779525763109,32432,50088
63779525763119,32411,49832
63779525763129,32412,49836
63779525763139,32401,50056
63779525763149,32388,49825
63779525763159,32357,50088
63779525763169,32349,49960
63779525763179,32368,49925
63779525763180,32424,49929
63779525763190,32538,49822
63779525763200,32744,49852
63779525763210,33028,49776
63779525763220,33320,49776
63779525763230,33624,49900
63779525763240,33897,50054
63779525763250,34116,49770
63779525763260,34280,49976
63779525763270,34386,49985
63779525763280,34424,49784
63779525763291,34400,49884
63779525763301,34360,50024
63779525763311,34274,49856
63779525763321,34175,49792
63779525763331,34069,49848
63779525763341,33960,49984
63779525763351,33856,49912
63779525763361,33756,49944
63779525763371,33664,49968
63779525763381,33568,50028
63779525763403,33452,50052
63779525763413,33380,50104
63779525763423,33301,49984
63779525763433,33245,49876
63779525763443,33195,49904
63779525763453,33152,49900
63779525763463,33114,49876
63779525763473,33112,49906
63779525763483,33120,49434
63779525763482,33122,50048
63779525763492,33136,49933
63779525763502,33159,50096
63779525763512,33188,50017
63779525763522,33200,50052
63779525763532,33194,50180
63779525763542,33193,50197
63779525763552,33180,50212
63779525763562,33162,49961
63779525763572,33128,50196
63779525763582,33104,50065
63779525763593,33064,50216
63779525763603,33029,50136
63779525763613,32980,50105
63779525763623,32945,49948
63779525763633,32905,50212
63779525763643,32850,50032
63779525763653,32802,49989
63779525763663,32760,50008
63779525763673,32721,50096
63779525763683,32672,49976
63779525763693,32634,49852
63779525763703,32613,49936
63779525763713,32570,49928
63779525763723,32552,50152
63779525763733,32538,50044
63779525763743,32517,49992
63779525763753,32498,50208
63779525763763,32492,50192
63779525763773,32488,50180
63779525763783,32468,49944
63779525763793,32445,50094
63779525763805,32442,49968
63779525763815,32432,50100
63779525763825,32436,50096
63779525763835,32424,49960
63779525763845,32420,50256
63779525763855,32412,50112
63779525763865,32404,49996
63779525763875,32401,50284
63779525763885,32396,50292
63779525763895,32369,50029
63779525763905,32368,50016
63779525763915,32364,50088
63779525763925,32352,50024
63779525763935,32346,50064
63779525763945,32333,50330
63779525763955,32318,50084
63779525763965,32325,50216
63779525763975,32316,50376
63779525763985,32332,50233
63779525763995,32325,49820
63779525764005,32316,50168
63779525764016,32300,50464
63779525764026,32285,50492
63779525764036,32276,50240
63779525764046,32292,50244
63779525764056,32347,50552
63779525764066,32504,50401
63779525764076,32724,50317
63779525764086,32994,50517
63779525764096,33290,50304
63779525764106,33596,50560
63779525764111,33876,50516
63779525764121,34100,50476
63779525764131,34260,50582
63779525764141,34360,50449
63779525764151,34388,50696
63779525764161,34376,50480
63779525764171,34320,50672
63779525764181,34248,50528
63779525764191,34148,50444
63779525764201,34032,50588
63779525764211,33924,50476
63779525764228,33820,50632
