OcutimeStamp,UnityTimeStamp,leftPor.x,leftPor.y,rightPor.x,rightPor.y,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,torsoPosition.x,torsoPosition.y,torsoPosition.z,torsoRotation.x,torsoRotation.y,torsoRotation.z,torsoRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,valL,valR
13749771542,63778385195950,0.4420359,0.5126954,0.3341344,0.5195243,-15.1534,2.210082,-1.733333,-0.04671468,-0.7193977,0.05916394,-0.6904958,0,0,0,0,0,0,0,15.14977,-2.208131,1.70902,-0.02402325,-0.2493107,-0.9681255,-0.03375947,0.002360519,-0.02565178,0.02649527,0.001540482,-0.02297424,-0.2208252,0.03393555,0.9747162,-0.3431549,0.04942322,0.937973,True,True
13749779696,63778385195970,0.4420931,0.5125566,0.3336731,0.5191765,-15.15336,2.210105,-1.733268,-0.04694264,-0.7192895,0.05900759,-0.6906064,0,0,0,0,0,0,0,15.14973,-2.208156,1.70897,-0.02403652,-0.2492532,-0.9681401,-0.03376009,0.002360519,-0.02565178,0.02649344,0.001536499,-0.02294428,-0.2206879,0.03353882,0.974762,-0.3441772,0.04844666,0.9376373,True,True
13749788141,63778385195978,0.4424608,0.5130437,0.3334047,0.51872,-15.15336,2.210108,-1.733238,-0.04714352,-0.7191327,0.05887789,-0.6907671,0,0,0,0,0,0,0,15.14972,-2.20816,1.708925,-0.02404865,-0.2491758,-0.9681596,-0.03376437,0.002360519,-0.0256927,0.02649289,0.001536377,-0.02293355,-0.2197723,0.03494263,0.9749146,-0.3447876,0.04718018,0.9374847,True,True
13749796347,63778385195987,0.4425639,0.5132719,0.3335938,0.5182958,-15.15342,2.210141,-1.733152,-0.04718973,-0.7190695,0.05868549,-0.6908461,0,0,0,0,0,0,0,15.14979,-2.2082,1.708843,-0.02401345,-0.2491392,-0.96817,-0.03376512,0.002360519,-0.02570395,0.02649,0.001521957,-0.02291374,-0.2195129,0.03559875,0.9749451,-0.3443909,0.04602051,0.9376831,True,True
13749804705,63778385195994,0.4429623,0.5138011,0.3338991,0.5190787,-15.15345,2.210144,-1.733102,-0.04737223,-0.7189598,0.05856686,-0.6909578,0,0,0,0,0,0,0,15.14981,-2.208208,1.708775,-0.02402241,-0.2490781,-0.9681855,-0.03376831,0.002364822,-0.02574481,0.0264863,0.001505768,-0.02290898,-0.2185211,0.03712463,0.9751129,-0.343689,0.04818726,0.9378357,True,True
13749813091,63778385195994,0.4433901,0.5144204,0.3339612,0.5191387,-15.15345,2.210144,-1.733102,-0.04737223,-0.7189598,0.05856686,-0.6909578,0,0,0,0,0,0,0,15.1498,-2.20821,1.708745,-0.02402082,-0.2490757,-0.9681861,-0.03377113,0.002368347,-0.02580757,0.02648541,0.001499832,-0.02290762,-0.217453,0.03890991,0.9752808,-0.3435516,0.0483551,0.9378815,True,True
13749821431,63778385196006,0.4437515,0.5148115,0.3337977,0.5202451,-15.15345,2.210142,-1.733057,-0.04745825,-0.7188051,0.05832209,-0.6911336,0,0,0,0,0,0,0,15.1498,-2.208213,1.708674,-0.02398224,-0.2489913,-0.9682087,-0.03377356,0.00237326,-0.02585922,0.02648413,0.001483627,-0.02290744,-0.2165527,0.04003906,0.9754333,-0.3438568,0.0513916,0.9376068,True,True
13749829640,63778385196017,0.4439344,0.5145705,0.3337803,0.5206783,-15.15344,2.210129,-1.732988,-0.04745863,-0.7187878,0.05812123,-0.6911685,0,0,0,0,0,0,0,15.1498,-2.208203,1.708597,-0.02393584,-0.2489731,-0.9682146,-0.03377516,0.002376328,-0.02587598,0.02648413,0.001476227,-0.02290491,-0.2161102,0.03935242,0.9755707,-0.3438721,0.05258179,0.9375305,True,True
13749838173,63778385196028,0.4444228,0.5145881,0.3337641,0.5204234,-15.15348,2.210097,-1.732916,-0.04752842,-0.7187589,0.05798408,-0.6912053,0,0,0,0,0,0,0,15.14983,-2.208171,1.708523,-0.02391762,-0.2489531,-0.9682202,-0.03378088,0.002377365,-0.02588232,0.02648413,0.001475784,-0.02290491,-0.2149048,0.03941345,0.9758301,-0.3439178,0.05187988,0.9375458,True,True
13749846405,63778385196028,0.444118,0.5146862,0.334003,0.5200644,-15.15348,2.210097,-1.732916,-0.04752842,-0.7187589,0.05798408,-0.6912053,0,0,0,0,0,0,0,15.14983,-2.208171,1.708522,-0.02391791,-0.248954,-0.9682199,-0.03378098,0.002378464,-0.02589026,0.02648413,0.001475021,-0.02289882,-0.2156525,0.03968811,0.975647,-0.3434143,0.05090332,0.9377899,True,True
