UnityTS,GSR,breath,heart
63781301995824,688,28776,38688
63781301995839,688,28900,38400
63781301995842,692,28820,38172
63781301995858,689,29010,38068
63781301995862,689,29076,37656
63781301995877,687,29108,37644
63781301995908,692,29008,37300
63781301995935,691,28344,37160
63781301995943,691,28584,36892
63781301995948,690,28365,36732
63781301995950,691,28604,36016
63781301995953,689,27988,35692
63781301995955,694,27954,35586
63781301995958,693,28436,35022
63781301995965,692,27916,34836
63781301995977,690,28096,34430
63781301995987,692,28342,34138
63781301995997,690,28434,33880
63781301996007,693,28497,33370
63781301996037,688,28306,33164
63781301996040,691,28250,32752
63781301996040,687,28685,32682
63781301996043,690,28700,32384
63781301996057,692,28524,32306
63781301996063,696,28514,32000
63781301996078,691,27824,31909
63781301996082,691,28068,31688
63781301996098,688,27636,31474
63781301996102,687,27365,31368
63781301996117,691,27159,31221
63781301996127,688,26947,31174
63781301996138,687,27192,31096
63781301996148,692,26349,30876
63781301996152,689,26930,30852
63781301996164,688,26260,30572
63781301996175,685,26718,30608
63781301996185,692,26676,30556
63781301996195,691,26326,30328
63781301996211,688,26810,30276
63781301996212,688,26852,30240
63781301996227,689,26568,30182
63781301996233,687,26200,30056
63781301996248,690,26630,30116
63781301996252,689,26472,30368
63781301996277,693,26176,30932
63781301996303,690,25872,32016
63781301996312,690,26297,33152
63781301996314,691,26234,34544
63781301996317,688,25845,35826
63781301996319,689,25925,37512
63781301996327,691,26038,39052
63781301996338,689,26088,39888
63781301996358,688,26073,41124
63781301996358,691,25368,41904
63781301996364,694,25848,42444
63781301996375,685,25916,42752
63781301996385,690,25672,42816
63781301996395,687,25436,42736
63781301996403,693,25890,42648
63781301996419,690,25682,42320
63781301996427,688,25712,41944
63781301996437,689,26068,41832
63781301996447,689,26186,41580
63781301996458,689,26293,41012
63781301996468,690,26221,40616
63781301996472,691,26442,39826
63781301996487,689,26580,39612
63781301996493,693,26290,39128
63781301996508,692,26380,38303
63781301996512,693,26418,38216
63781301996527,688,26820,37632
63781301996530,687,26880,37080
63781301996545,689,26380,36900
63781301996554,687,26433,36376
63781301996569,689,27072,36096
63781301996574,690,27012,35637
63781301996589,692,26888,35685
63781301996593,690,27578,35609
63781301993547,691,26026,38676
63781301993550,691,25974,38664
63781301993565,689,26180,38458
63781301993580,687,26436,38370
63781301993582,687,26396,38224
63781301993604,686,26624,37880
63781301993604,689,26708,37676
63781301993615,685,26656,37594
63781301993625,687,26820,37284
63781301993635,691,26832,37105
63781301993645,687,26682,37044
63781301993649,685,27094,37060
63781301993664,692,27152,36608
63781301993674,687,26994,36678
63781301993684,688,27032,36568
63781301993725,692,27572,36600
63781301993736,691,27845,36196
63781301993739,689,27604,36496
63781301993741,690,28344,36280
63781301993746,687,28336,35960
63781301993749,692,28032,35872
63781301993752,689,28976,35548
63781301993767,689,29306,35396
63781301993771,687,28860,34964
63781301993781,687,29906,34484
63781301993791,686,30152,34390
63781301993806,691,30506,34117
63781301993810,689,30907,33658
63781301993825,686,31172,33425
63781301993834,689,31532,33114
63781301993840,690,31976,32724
63781301993856,686,32348,32442
63781301993860,685,32636,32275
63781301993875,694,33056,31916
63781301993885,690,32964,31742
63781301993896,688,33520,31412
63781301993906,686,34072,31301
63781301993910,689,34552,31004
63781301993925,688,34044,30752
63781301993934,691,34858,30650
63781301993944,690,35732,30436
63781301993954,691,36120,30232
63781301993964,688,36052,30072
63781301993970,692,36496,29904
63781301993985,693,37236,29724
63781301993991,688,37400,29566
63781301994001,689,37828,29456
63781301994017,689,38152,29284
63781301994021,684,38476,29112
63781301994036,689,38632,28945
63781301994091,689,38912,28778
63781301994091,690,39444,28601
63781301994116,687,39728,28424
63781301994126,688,39797,28440
63781301994129,692,40280,28284
63781301994131,689,40408,28474
63781301994135,688,40632,29000
63781301994135,682,40936,29796
63781301994137,688,40896,30750
63781301994140,686,41448,31898
63781301994144,688,41714,32984
63781301994154,687,41944,34072
63781301994160,689,42194,35065
63781301994176,687,42532,35906
63781301994180,683,42856,36600
63781301994195,686,43016,37034
63781301994205,687,43168,37416
63781301994216,689,43748,37640
63781301994226,688,43712,37700
63781301994230,688,44288,37644
63781301994245,685,44504,37624
63781301994254,688,44488,37601
63781301994264,684,44888,37544
63781301994274,685,45344,37484
63781301994284,685,45640,37472
63781301994290,691,45940,37410
